llc_coords_index,counts,latitude,longitude,ssha_karin_2_mean,ssha_karin_2_std
30288,40,-67.632835,100.5,,
30376,88,-67.250374,98.5,,
30377,612,-67.250374,99.5,,
30378,730,-67.250374,100.5,,
30379,4,-67.250374,101.5,,
30465,106,-66.86271,97.5,,
30466,892,-66.86271,98.5,,
30467,956,-66.86271,99.5,,
30468,954,-66.86271,100.5,,
30469,356,-66.86271,101.5,,
30556,670,-66.4697,98.5,,
30557,982,-66.4697,99.5,,
30558,980,-66.4697,100.5,,
30559,878,-66.4697,101.5,,
30560,40,-66.4697,102.5,,
30646,108,-66.07124,98.5,,
30647,958,-66.07124,99.5,,
30648,1014,-66.07124,100.5,,
30649,1012,-66.07124,101.5,,
30650,488,-66.07124,102.5,-0.3292537232718703,0.4249355237774423
30737,458,-65.66718,99.5,0.2703224898824593,0.2422323758061158
30738,1048,-65.66718,100.5,0.07889596425004869,0.27500240067148735
30739,1046,-65.66718,101.5,0.4669564775880222,0.1423047516726582
30740,982,-65.66718,102.5,0.17107826523902223,0.21483275206782657
30741,76,-65.66718,103.5,-0.15146328928340044,0.2418715135639731
30827,18,-65.2574,99.5,,
30828,890,-65.2574,100.5,0.08834928648842813,0.1283236957647962
30829,1074,-65.2574,101.5,0.36619593612137136,0.23585532867965492
30830,1072,-65.2574,102.5,0.12287849470829476,0.24393707154292232
30831,582,-65.2574,103.5,0.03201201669456564,0.24843833839329804
30918,296,-64.84175,100.5,0.1577396837244003,0.06002799032954704
30919,1110,-64.84175,101.5,0.19843873763735695,0.17379914873330202
30920,1108,-64.84175,102.5,0.02241301815232939,0.15117821684287144
30921,1062,-64.84175,103.5,-0.061202782987203004,0.1338611287559356
30922,100,-64.84175,104.5,0.05641136844922209,0.12702441027213895
31009,798,-64.4201,101.5,0.20919941800021005,0.13111965537762904
31010,1144,-64.4201,102.5,0.12929433314313685,0.12421279251929003
31011,1136,-64.4201,103.5,-0.005617377743657307,0.09250663356818573
31012,632,-64.4201,104.5,-0.05525822333025456,0.09408814564965201
31099,190,-63.992294,101.5,0.19163248181755063,0.09010285487106359
31100,1156,-63.992294,102.5,0.1463072568853545,0.10380170657459108
31101,1182,-63.992294,103.5,0.09674184426572481,0.06392267109627853
31102,1102,-63.992294,104.5,-0.019370248391423362,0.11148217468768339
31103,96,-63.992294,105.5,-0.15718715066868025,0.06469677303144591
31190,738,-63.55819,102.5,0.109562650732513,0.06120093237553907
31191,1210,-63.55819,103.5,0.02830860573769119,0.05949900033888072
31192,1230,-63.55819,104.5,-0.0776412430906176,0.06405160551869035
31193,614,-63.55819,105.5,-0.13987670090902077,0.0758767459718458
31280,138,-63.11764,102.5,0.15693310712853886,0.02051825401937826
31281,1222,-63.11764,103.5,0.07228482283648674,0.059884228541289226
31282,1232,-63.11764,104.5,-0.05421656545583579,0.035289836610906906
31283,1166,-63.11764,105.5,-0.13930894189259402,0.05199133820493223
31284,58,-63.11764,106.5,-0.13189877288292726,0.04088512192407302
31371,718,-62.670486,103.5,0.10474502187834817,0.025880201186440674
31372,1292,-62.670486,104.5,0.047518022692655495,0.03647643898835505
31373,1282,-62.670486,105.5,-0.0619888034566234,0.04449572802674619
31374,554,-62.670486,106.5,-0.14566087660137142,0.03580102184256056
31461,130,-62.216576,103.5,0.10021834381363894,0.030951491751270897
31462,1278,-62.216576,104.5,0.06324425636772914,0.040602461293153216
31463,1332,-62.216576,105.5,-0.021638621093487888,0.02913624912521506
31464,1148,-62.216576,106.5,-0.10398909294844273,0.05107116354281837
31465,16,-62.216576,107.5,-0.10156269143681525,0.01239299475999089
31552,788,-61.755745,104.5,0.1501983410550953,0.04966130531133267
31553,1364,-61.755745,105.5,0.05469336502938225,0.051191785421310844
31554,1368,-61.755745,106.5,-0.030912656425399334,0.0483393120068967
31555,430,-61.755745,107.5,-0.11180973425614442,0.03332754066193434
31642,158,-61.28783,104.5,0.18177457127647323,0.024469976701241198
31643,1380,-61.28783,105.5,0.15103317781413256,0.044398964792827664
31644,1404,-61.28783,106.5,0.037447599311116,0.04411844514344051
31645,1046,-61.28783,107.5,-0.06275171951585753,0.03815610341010675
31733,900,-60.812664,105.5,0.22487390833248952,0.031731643738419184
31734,1450,-60.812664,106.5,0.09939076046016976,0.03917445810707226
31735,1450,-60.812664,107.5,0.015200905180409322,0.04301726081950864
31736,238,-60.812664,108.5,-0.056466170193999125,0.023530735453186007
31823,238,-60.330074,105.5,0.16407450077113567,0.031073331575370507
31824,1494,-60.330074,106.5,0.10811066537492019,0.022039713383717432
31825,1494,-60.330074,107.5,0.012761151673825244,0.047349357244256145
31826,858,-60.330074,108.5,-0.12823217101339004,0.03681451233022049
31914,1086,-59.83989,106.5,0.1265894445400279,0.024833266975844738
31915,1546,-59.83989,107.5,0.01455655020219515,0.053585508973107925
31916,1446,-59.83989,108.5,-0.14460685296337308,0.04158684442786392
31917,58,-59.83989,109.5,-0.15176626687955214,0.026075478698471835
32004,416,-59.34193,106.5,0.15852182924907854,0.027512649111539222
32005,1594,-59.34193,107.5,0.08916777101359556,0.049810111640466136
32006,1590,-59.34193,108.5,-0.09056727055715937,0.036185754767398694
32007,592,-59.34193,109.5,-0.14438829697067676,0.01842982131417242
32094,2,-58.836018,106.5,,
32095,1352,-58.836018,107.5,0.08046199578185458,0.03712667632515572
32096,1644,-58.836018,108.5,-0.0581613345063374,0.055102483271510856
